phrase,thing,t_s,t_e,place,p_s,p_e,rating
I thought the eecles cakes at Dunkin Donuts Inc was terrible,eecles cakes,14,27,Dunkin Donuts Inc,30,48,terrible
westphalian ham cold with asparagus Kabab House Inc sucked,westphalian ham cold with asparagus,0,36,Kabab House Inc,36,52,sucked
delicious martini special imported gin Las Islas Marias Ii,martini special imported gin,10,39,Las Islas Marias Ii,39,59,delicious
El Fandango individual post toasties was bomb,individual post toasties,12,37,El Fandango,0,12,was bomb
the le granite fleur du pecher I had at Boss Bar was bad,le granite fleur du pecher,4,31,Boss Bar,40,49,bad
my meat or egg order at China Chef Restaurant was decent,meat or egg order,3,21,China Chef Restaurant,24,46,decent
good brugnons Taos Restaurant,brugnons,5,14,Taos Restaurant,14,30,good
I thought the cold chocolate pudding with cream at Hideout Inn was tasty,cold chocolate pudding with cream,14,48,Hideout Inn,51,63,tasty
terrible avelsbacher thielslay auslese Patels Cafe, avelsbacher thielslay auslese,8,39,Patels Cafe,39,51,terrible
the west end buck I had at Creperie De Paris was delicious,west end buck,4,18,Creperie De Paris,27,45,delicious
Clark Manor Convalescent Center champagne split bottle tasty,champagne split bottle,32,55,Clark Manor Convalescent Center,0,32,tasty
ris de veau a landalouse Las Delicias De Puerto Rico tasty,ris de veau a landalouse,0,25,Las Delicias De Puerto Rico,25,53,tasty
the delikatessandwiches med bouchee och ratt eller radisor assietter ratt at Wyler Road is tasty,delikatessandwiches med bouchee och  ratt eller radisor  assietter  ratt,-1,72,Wyler Road,77,88,tasty
Us Sub Grill gruyere suisse bad,gruyere suisse,13,28,Us Sub  Grill,-1,13,bad
the bologna sandwich I had at Pepes Mexican Restaurant was sucked,bologna sandwich,4,21,Pepes Mexican Restaurant,30,55,sucked
Federal Reserve Bank pouilly fume de la loire tasty,pouilly fume de la loire,21,46,Federal Reserve Bank,0,21,tasty
the anheuserbusch st I had at Lamus Cafe Inc was sucked,anheuserbusch st,4,21,Lamus Cafe Inc,30,45,sucked
the iron horse wedding cuvee brut I had at Whales Fish Chicken was delicious,iron horse  wedding cuvee brut ,-1,31,Whales Fish  Chicken,-1,20,delicious
terrible pan roasted soft shell clams Yusho Hp,pan roasted soft shell clams,9,38,Yusho Hp,38,47,terrible
Hiras Cafe's ushers ov glenlivet is could have been better,ushers ov glenlivet,13,33,Hiras Cafe,0,11,could have been better
the charlotte malakoff I had at Dunkin Donuts was sucked,charlotte malakoff,4,23,Dunkin Donuts,32,46,sucked
the la truffe sous la cendre I had at Paleteria Poncho was not that good,la truffe sous la cendre,4,29,Paleteria Poncho,38,55,not that good
Lalos Mexican And Tequila Bar rebhhner la sam ward compot salat delicious,rebhhner  la sam ward compot salat,-1,34,Lalos Mexican And Tequila Bar,0,30,delicious
minuten austernstew Sals Deli delicious, minuten austernstew,-1,20,Sals Deli,20,30,delicious
Newleaf Natural Grocery Inc's oeufs poches benedictine is delicious,oeufs poches benedictine,30,55,Newleaf Natural Grocery Inc,0,28,delicious
tender green vegetables with barbecued pork Sushi Avenue Inc acceptable,tender green vegetables with barbecued pork,0,44,Sushi Avenue Inc,44,61,acceptable
cornichon St Agatha Catholic School sucked,cornichon,0,10,St Agatha Catholic School,10,36,sucked
my le vin rose en pourrons de chene at Venicci Pizza was not that good,le vin rose en pourrons de chene,3,36,Venicci Pizza,39,53,not that good
ch lafiterothschild rd bordeaux Kizin Creole Restaurant was bomb, ch lafiterothschild rd bordeaux,-1,32,Kizin Creole Restaurant,32,56,was bomb
the reception flakes I had at Sunshine was bad,reception flakes,4,21,Sunshine,30,39,bad
Blackseamm schwedenfruchte gemischte fruchte in rotwein mit eisgekuhlter schlagsahne acceptable,schwedenfruchte gemischte fruchte in rotwein mit eisgekuhlter schlagsahne,11,85,Blackseamm,0,11,acceptable
the endives fraiches meuniere I had at Georges Grill Kabab Inc was could have been better,endives fraiches meuniere,4,30,Georges Grill Kabab Inc,39,63,could have been better
the costilla di cerdo grilled pork chop at Gus Remus is acceptable,costilla di cerdo grilled pork chop,4,40,Gus Remus,43,53,acceptable
I thought the rah pilsner at Fifth City Child Development was okay,rah pilsner,14,26,Fifth City Child Development,29,58,okay
queso de roquefort The Parthenon Restaurant Inc was bomb,queso de roquefort,0,19,The Parthenon Restaurant Inc,19,48,was bomb
the robertson port at Sunnyday Tap is okay,robertson port,4,19,Sunnyday Tap,22,35,okay
insalatina di pollo deliziosa Old Fashioned Market Llc not that good,insalatina di pollo deliziosa,0,30,Old Fashioned Market Llc,30,55,not that good
I thought the fresh crab meat with french fried potatoes at Grand Food Liquor Mart was good,fresh crab meat with french fried potatoes,14,57,Grand Food  Liquor Mart,-1,23,good
keonigsbacher winkle Kreative Kidz Academy Ii bad,keonigsbacher winkle,0,21,Kreative Kidz Academy Ii,21,46,bad
Super Mercado Carreta toke points delicious,toke points,22,34,Super Mercado Carreta,0,22,delicious
tasty chicken russian Harry Carays Seventh Inning Stretch,chicken russian,6,22,Harry Carays Seventh Inning Stretch,22,58,tasty
the kopke at Little People Learning is decent,kopke ,4,11,Little People Learning,13,36,decent
the petits haricot de lima forestiere I had at Wingstop was good,petits haricot de lima forestiere,4,38,Wingstop,47,56,good
I thought the medoc superior at Lou Malnatis Pizzeria was could have been better,medoc superior,14,29,Lou Malnatis Pizzeria,32,54,could have been better
I thought the indianisches huhn in lehm gebacken fur und mehrere personen at Telpochcalli was good,indianisches huhn in lehm gebacken fur  und mehrere personen,-1,60,Telpochcalli,77,90,good
Nellies's fresh mackerel grilled aux fines herbes is acceptable,fresh mackerel grilled aux fines herbes,10,50,Nellies,0,8,acceptable
the cresta blanca cabernet at Martins Fresh Market is terrible,cresta blanca cabernet,4,27,Martins Fresh Market,30,51,terrible
I thought the white fish bell meuniere at Moher was delicious,white fish bell meuniere,14,39,Moher,42,48,delicious
Second City Subs veronese was bomb,veronese,17,26,Second City Subs,0,17,was bomb
Mama Angie's rack of baby lamb en casserole a la savoyarde is not that bad,rack of baby lamb en casserole a la savoyarde,13,59,Mama Angie,0,11,not that bad
the perdreau roti sauce cimberland I had at Snarfs River North was acceptable,perdreau roti sauce cimberland,4,35,Snarfs River North,44,63,acceptable
I thought the kaiserchmarrn at La Jefa was acceptable,kaiserchmarrn,14,28,La Jefa,31,39,acceptable
terrible schweinesteak jger art mit kartofellpuree St Angela School,schweinesteak jger art mit kartofellpuree,9,51,St Angela School,51,68,terrible
Little Vines Childcare Center's masthahnchen mit toast und butter is bad, masthahnchen mit toast und butter,31,66,Little Vines Childcare Center,0,30,bad
The Couch pochirte eier auf anchovistoast sucked,pochirte eier auf anchovistoast,10,42,The Couch,0,10,sucked
my citricot elixir at Fish Unlimited was bad,citricot elixir,3,19,Fish Unlimited,22,37,bad
the susu lamb curry with rice at Shaarei Chinuch Day School is okay,susu lamb curry with rice,4,30,Shaarei Chinuch Day School,33,60,okay
decent eclairs a la vanille Black Sheep,eclairs a la vanille,7,28,Black Sheep,28,40,decent
the pizza moby dick mit tomaten at Sajjad Inc is terrible,pizza moby dick mit tomaten,4,32,Sajjad Inc,35,46,terrible
Oriental Noodle Company's el pollo en cocotte a la italiana is terrible,el pollo en cocotte a la italiana,26,60,Oriental Noodle Company,0,24,terrible
Mi Mexico Grocery's perrier jouet co special is decent,perrier jouet  co special,-1,25,Mi Mexico Grocery,0,18,decent
two eggs any style Churchs Chicken delicious,two eggs any style,0,19,Churchs Chicken  ,-1,17,delicious
tartarbrot mei garn La Casa Del Pan Bakery could have been better,tartarbrot mei garn,0,20,La Casa Del Pan Bakery,20,43,could have been better
I thought the geflugelleber m champignon at Sun Shine Food Liquor Inc was could have been better,geflugelleber m champignon,14,41,Sun Shine Food  Liquor Inc,-1,26,could have been better
the harzer kase mit gansefett I had at Price was tasty,harzer kase mit gansefett,4,30,Price,39,45,tasty
my clam combination stew at The Revival was acceptable,clam combination stew,3,25,The Revival,28,40,acceptable
Stax Cafe's kidney patties with oysters is could have been better,kidney patties with oysters,12,40,Stax Cafe,0,10,could have been better
I thought the manhattan creme at Subwaysandwich was could have been better,manhattan creme,14,30,Subwaysandwich,33,48,could have been better
cherrystone clams in cream Hamburger Heaven Express Inc delicious,cherrystone clams in cream,0,27,Hamburger Heaven Express Inc,27,56,delicious
Ontario Street Owner Llc's dish of crushed peaches is not that good,dish of crushed peaches,27,51,Ontario Street Owner Llc,0,25,not that good
I thought the new peas au sauce at El Huarache De Maria was not that good,new peas au sauce,14,32,El Huarache De Maria,35,56,not that good
I thought the scotch salmon at Uncle Remus Restaurant Inc was decent,scotch salmon,14,28,Uncle Remus Restaurant Inc,31,58,decent
the gemueseplatte mit ei I had at Seashell Restaurant was okay,gemueseplatte mit ei,4,25,Seashell Restaurant,34,54,okay
apple or rhubarb pie Jewel Food Store sucked,apple or rhubarb pie,0,21,Jewel Food Store ,21,39,sucked
Vhc Lower Llc's schweinsrollchen strabburger kartoffeln is sucked,schweinsrollchen  strabburger kartoffeln,-1,40,Vhc Lower Llc,0,14,sucked
eleven riz caroline au beurre noisette decent,riz caroline au beurre noisette,7,39,eleven,0,7,decent
my baked stuffed guaymas shrimp at Adobo Grill was decent,baked stuffed guaymas shrimp,3,32,Adobo Grill,35,47,decent
Cafeteria Emmanuel from the wine cellar not that bad,from the wine cellar,19,40,Cafeteria Emmanuel,0,19,not that bad
eggs hong kong sliced barbecued pork Mild Spicy terrible,eggs hong kong sliced barbecued pork,0,37,Mild Spicy,37,48,terrible
The Everest Room's plover with olives is terrible,plover with olives,19,38,The Everest Room,0,17,terrible
the mashed beans I had at Pista House Haleem was could have been better,mashed beans,4,17,Pista House Haleem,26,45,could have been better
bombe fedora Ostioneria Mar Abierto okay,bombe fedora,0,13,Ostioneria Mar Abierto,13,36,okay
deutz gelderman extra sec La Pena could have been better,deutz  gelderman extra sec,-1,26,La Pena,26,34,could have been better
not that good hollandisches kalbsfrikassee mit butterreis Toolus Fast Food,hollandisches kalbsfrikassee mit butterreis,14,58,Toolus Fast Food,58,75,not that good
was bomb roast short ribs of beef Hot N Spicy Grill Chicken,roast short ribs of beef,9,34,Hot N Spicy Grill Chicken,34,60,was bomb
my taylor at Peking Chinese Kitchen was okay,taylor,3,10,Peking Chinese Kitchen,13,36,okay
Jalisco Restaurant veal cordon bleu our interpretation of a double cutlet of milkfed meadow veal stuffed with imported ham and cheshire cheese lightly breaded and cooked in sweet creamery butter flambed before you in imported brandy our chefs special sauce savoy is its savory condiment delicious,veal cordon bleu our interpretation of a double cutlet of milkfed meadow veal stuffed with imported ham and cheshire cheese lightly breaded and cooked in sweet creamery butter flambed before you in imported brandy our chefs special sauce savoy is its savory condiment,19,287,Jalisco Restaurant,0,19,delicious
the oksesteg at Davidson Hotel Company is delicious,oksesteg,4,13,Davidson Hotel Company,16,39,delicious
Rocky Pancake House the diplomat rev dr d r lucas decent,the diplomat  rev dr d r lucas,-1,30,Rocky Pancake House,0,20,decent
I thought the cherry hill alaska strawberry ice cream pie at Miss Muffet Restaurant was acceptable,cherry hill alaska strawberry ice cream pie,14,58,Miss Muffet Restaurant,61,84,acceptable
avh gin Thai Oscar not that bad,avh gin,0,8,Thai Oscar,8,19,not that bad
sucked chester kase mit butter und brot V,chester kase mit butter und brot,7,40,V ,-1,2,sucked
the cream cheese with walnut sandwich at Michael Diverseys is decent,cream cheese with walnut sandwich,4,38,Michael Diverseys,41,59,decent
my fresh salmon a la parisienne with vegetable salad at Philly Steak And Fresh Lemonade was was bomb,fresh salmon a la parisienne with vegetable salad  ,-1,51,Philly Steak And Fresh Lemonade,56,88,was bomb
my shrimp curry with rice at Vu Rooftop And Bar was good,shrimp curry with rice,3,26,Vu Rooftop And Bar,29,48,good
le blanc de blanc vintage Pennys Noodles Shop good,le blanc de blanc vintage,0,26,Pennys Noodles Shop,26,46,good
cl scotch whisky El Azteca not that good, cl scotch whisky,-1,17,El Azteca,17,27,not that good
Protein Bar's cream soup of beans a la clermont is tasty,cream soup of beans a la clermont,14,48,Protein Bar,0,12,tasty
chicken croquettes with truffles Flat Top Grill not that bad,chicken croquettes with truffles,0,33,Flat Top Grill,33,48,not that bad
Chinese Kitchen's broiled flounder stuffed with imperial crab is acceptable,broiled flounder stuffed with imperial crab,18,62,Chinese Kitchen,0,16,acceptable
country fresh scrambled eggs Aramark Educational Services Inc not that good,country fresh scrambled eggs,0,29,Aramark Educational Services Inc,29,62,not that good
the young amer cheese at Pepes Mexican Restaurant is not that bad,young amer cheese,4,22,Pepes Mexican Restaurant,25,50,not that bad
eleven h's markgraefler is bad,markgraefler,11,24,eleven h,0,9,bad
Bunny The Micro Bakery guy foo yong chicken omelette bad,guy foo yong chicken omelette,23,53,Bunny The Micro Bakery,0,23,bad
Youngs Restaurant buf mode en gele tasty,buf mode en gele,18,35,Youngs Restaurant,0,18,tasty
Belmont Bp's tarragona domingos is good,tarragona domingos,13,32,Belmont Bp,0,11,good
the ziti with chicken livers I had at Maxwell Street Sacramento was was bomb,ziti with chicken livers,4,29,Maxwell Street Sacramento,38,64,was bomb
sliced pineapple with cream El Publano good,sliced pineapple with cream,0,28,El Publano,28,39,good
Range crisp bacon strips sucked,crisp bacon strips,6,25,Range,0,6,sucked
the hausmacher blutwurst nur in ganzen wursten g I had at Brightview Healthcare And Rehabilitation Centre was not that bad,hausmacher blutwurst nur in ganzen wursten  g ,-1,46,Brightview Healthcare And Rehabilitation Centre,58,106,not that bad
beef tacos Marquette Elementary School bad,beef tacos ,0,12,Marquette Elementary School,11,39,bad
my peaches in cognac at Laramie Food Group Inc was acceptable,peaches in cognac,3,21,Laramie Food Group Inc,24,47,acceptable
my pointes dasperges a la piemontaise at Milanos Pizza was not that good,pointes dasperges a la piemontaise,3,38,Milanos Pizza,41,55,not that good
Bellas Pizza braised pigeon aux champignons sucked,braised pigeon aux champignons,13,44,Bellas Pizza,0,13,sucked
I thought the fresh tomatoes stuffed with chicken breast at Dunkin Donuts was not that good,fresh tomatoes stuffed with chicken breast,14,57,Dunkin Donuts,60,74,not that good
Vosges Hautchocolat's eagles ice cream is bad,eagles ice cream,22,39,Vosges Hautchocolat,0,20,bad
half avocado stuffed with crab Family Dollart sucked,half avocado stuffed with crab,0,31,Family Dollart ,31,47,sucked
Vito Nicks Inc kavesteg sucked,kavesteg,15,24,Vito  Nicks Inc,-1,15,sucked
the fl piesporter lay I had at Dado Food Mart Inc was not that good, fl  piesporter lay,-1,19,Dado Food Mart Inc,31,50,not that good
the la salade tropicale a lhuile vierge et citron at Anatolia Kebap is not that good,la salade tropicale a lhuile vierge et citron,4,50,Anatolia Kebap,53,68,not that good
Freds At Barneys New York's broiled turbot saintmalo is delicious,broiled turbot saintmalo,28,53,Freds At Barneys New York,0,26,delicious
Saul Margies Beef's parfait aux pommes is good,parfait aux pommes,20,39,Saul Margies Beef,0,18,good
my honningglaseret pouladbryst med porrecreme og troffelsky at Royal Catering Servicesllc was delicious,honningglaseret pouladbryst med porrecreme og troffelsky,3,60,Royal Catering Servicesllc,63,90,delicious
I thought the er haslocher stockmeister spatburgunder origabflmkorlbrdbayerlandesanstalt veitschochheim franken at Ginas Unbelievable Learning Center was delicious,er haslocher stockmeister spatburgunder origabflmkorlbrdbayerlandesanstalt veitschochheim franken,14,112,Ginas Unbelievable Learning Center,115,150,delicious
my barton guestier chateau larose at Franklin Super Foods Liquors Inc was acceptable,barton  guestier chateau larose,-1,31,Franklin Super Foods  Liquors Inc,-1,33,acceptable
my margherita pizza at Just Turkey Restaurant was acceptable,margherita pizza,3,20,Just Turkey Restaurant,23,46,acceptable
the lobster fritters I had at Academy Of Global Citizenship was tasty,lobster fritters,4,21,Academy Of Global Citizenship,30,60,tasty
I thought the breakfast tea at Halal N Go Inc was could have been better,breakfast tea,14,28,Halal N Go Inc,31,46,could have been better
thon blanc aux cpres Couscous Restarurant terrible,thon blanc aux cpres,0,21,Couscous Restarurant,21,42,terrible
the fraises glacees chantilly at The Unit is okay,fraises glacees chantilly,4,30,The Unit,33,42,okay
the our special pecan ball our own chocolate sauce at Burger King is okay,our special pecan ball  our own chocolate sauce,-1,47,Burger King ,54,67,okay
Las Tablas chianti ruffino okay,chianti ruffino,11,27,Las Tablas,0,11,okay
the clear soup with vegetables I had at Dominos Pizza was terrible,clear soup with vegetables ,4,32,Dominos Pizza,40,54,terrible
I thought the glace melba at The Works On Franklin Inc was not that bad,glace melba,14,26,The Works On Franklin Inc,29,55,not that bad
my jambon de york glac at Idof Fresh Mediterranean was delicious,jambon de york glac,3,23,Idof Fresh Mediterranean,26,51,delicious
sucked pecorino mezzano al cucchiaio Ninos Heroes Elementary,pecorino mezzano al cucchiaio,7,37,Ninos Heroes Elementary,37,61,sucked
the plank extra club steak at West Park Academy is okay,plank extra club steak,4,27,West Park Academy,30,48,okay
I thought the rotwein at Egghead Diner was not that bad,rotwein  ,-1,9,Egghead Diner,25,39,not that bad
the cream cheese with toasted crackers at The Ogden is could have been better,cream cheese with toasted crackers,4,39,The Ogden,42,52,could have been better
my bisque de homard aux crotons at Johnnys Beef Gyros was good,bisque de homard aux crotons,3,32,Johnnys Beef  Gyros,-1,19,good
cold roast french poularde Northstar Coffee was bomb,cold roast french poularde,0,27,Northstar Coffee,27,44,was bomb
my fried rolled eggs at Michael Faraday Elementary was terrible,fried rolled eggs,3,21,Michael Faraday Elementary,24,51,terrible
I thought the le calumet des iroquois at Porkchop was good,le calumet des iroquois,14,38,Porkchop,41,50,good
Ohio Food Mart kalbsrahmschnitzel mit teigwaren und salat was bomb,kalbsrahmschnitzel mit teigwaren und salat,15,58,Ohio Food Mart,0,15,was bomb
Levy Restaurants At United Center's williams humbert pando amontillado is was bomb,williams  humbert pando amontillado,-1,35,Levy Restaurants At United Center,0,34,was bomb
consomme demidoff Baskin Robbins not that good,consomme demidoff,0,18,Baskin Robbins,18,33,not that good
fudge vanilla ice cream Golden Crown Restaurant good,fudge vanilla ice cream,0,24,Golden Crown Restaurant,24,48,good
I thought the eggplant au gratin at Homemade Pizza was bad,eggplant au gratin,14,33,Homemade Pizza,36,51,bad
okay black bass a la normande Hannahs Bretzel,black bass a la normande,5,30,Hannahs Bretzel,30,46,okay
delicious rizs leves Strings,rizs leves,10,21,Strings,21,29,delicious
Devon California Grocery Store's bisque of lobster with oyster crabs is could have been better,bisque of lobster with oyster crabs,33,69,Devon  California Grocery Store,-1,31,could have been better
the princesse consomme rachael I had at Graham Training Center was not that bad,princesse consomme rachael,4,31,Graham Training Center,40,63,not that bad
the soulsatisfying soups served with mixed cracker basket or oven fresh rolls and butter I had at Pita Puff Ii Inc was sucked,soulsatisfying soups served with mixed cracker basket or oven fresh rolls and butter,4,89,Pita Puff Ii Inc,98,115,sucked
my mineral waters in syphons at Swedish Bakery Inc was not that bad,mineral waters in syphons,3,29,Swedish Bakery Inc,32,51,not that bad
my pommes de terre frites ou bouillies at Earths Healing Cafe was sucked,pommes de terre frites ou bouillies,3,39,Earths Healing Cafe,42,62,sucked
could have been better strips of bacon Tailgators, strips of bacon,22,39,Tailgators,39,50,could have been better
the brie mit normandiebutter I had at Beefys was terrible,brie mit normandiebutter,4,29,Beefys,38,45,terrible
tasty chicken cacciatori Mc Donalds,chicken cacciatori,6,25,Mc Donalds,25,36,tasty
The Junction Chicago's cold boiled rice served with milk is tasty,cold boiled rice served with milk,23,57,The Junction Chicago,0,21,tasty
old forester bourbon bonded Northgrand Hs not that good,old forester bourbon bonded,0,28,Northgrand Hs,28,42,not that good
the potage brun au printemps at Ellys Pancake House is tasty,potage brun au printemps,4,29,Ellys Pancake House,32,52,tasty
Jj Fish's imported pilsner beer is decent,imported pilsner beer,10,32,Jj Fish,0,8,decent
my wholewheat bread at Taj Mahal was good,wholewheat bread,3,20,Taj Mahal,23,33,good
I thought the haricot oxtails at Childrens Center Inc was not that bad,haricot oxtails,14,30,Childrens Center Inc,33,54,not that bad
my imported preserved ginger at La Barca was decent,imported preserved ginger,3,29,La Barca,32,41,decent
Just Like Home Baldwin Day Care's plain hamburger is was bomb,plain hamburger,34,50,Just Like Home Baldwin Day Care,0,32,was bomb
slice of veal saute in butter and brandy cream Krungtep Thai Restaurant acceptable,slice of veal saute in butter and brandy cream,0,47,Krungtep Thai Restaurant,47,72,acceptable
my creme de parmesan at A Safe Haven Foundation was okay,creme de parmesan,3,21,A Safe Haven Foundation,24,48,okay
chicken sotlylaisse bordure cream gratin Starbucks Coffee not that bad,chicken sotlylaisse bordure cream gratin,0,41,Starbucks Coffee,41,58,not that bad
the boiled breast of beef with horseradish I had at Jellybean Learning Center Vi was not that bad,boiled breast of beef with horseradish,4,43,Jellybean Learning Center Vi,52,81,not that bad
I thought the tetras au cresson at Chicago Wings Gyros was okay,tetras au cresson,14,32,Chicago Wings  Gyros,-1,20,okay
A Jj Convenience Store Inc canada dry ginger ale domestic okay,canada dry ginger ale domestic,27,58,A  Jj Convenience Store Inc,-1,27,okay
Hoa Nom Co er chateau la passaint georges vin nature saint georgessaint emilion l eschenauer co bordeau tasty,er chateau la passaint georges vin nature saint georgessaint emilion l eschenauer  co bordeau,-1,93,Hoa Nom Co,0,11,tasty
Amk Kitchen Bar's butter jam is good,butter  jam,-1,11,Amk Kitchen Bar,0,16,good
minced chicken sandwich with lettuce Afc Sushi Jewel Osco not that bad,minced chicken sandwich with lettuce,0,37,Afc Sushi  Jewel Osco,-1,21,not that bad
could have been better tenderloin steak saute a la jardiniere Del Seoul,tenderloin steak saute a la jardiniere,23,62,Del Seoul,62,72,could have been better
my poulet saute forestiere at Charlottes Bar And Grill was acceptable,poulet saute forestiere,3,27,Charlottes Bar And Grill,30,55,acceptable
Holmes crab meat chower assorted crackers sucked,crab meat chower  assorted crackers,-1,35,Holmes,0,7,sucked
Mr Beef's barolo reserva is not that bad,barolo reserva,10,25,Mr Beef,0,8,not that bad
the welch rarebit on blazer I had at Red Snapper Fish Chicken Pizza was sucked,welch rarebit on blazer,4,28,Red Snapper Fish Chicken  Pizza,-1,31,sucked
my el cordova special salad at Tnt Pizza Beef was delicious,el cordova special salad,3,28,Tnt Pizza  Beef,-1,15,delicious
Kim Long Restaurant's american rum and raspberry cake is acceptable,american rum and raspberry cake,22,54,Kim Long Restaurant,0,20,acceptable
acceptable consomme a langlaise Carniceria La Villa,consomme a langlaise,11,32,Carniceria La Villa ,-1,20,acceptable
the broiled filet of sea bass with soft shell crab I had at Taqueria Los Comales was decent,broiled filet of sea bass with soft shell crab,4,51,Taqueria Los Comales  ,-1,22,decent
tegamino alla lombarda Uptown Pizza Bq not that bad,tegamino alla lombarda,0,23,Uptown Pizza  Bq,-1,16,not that bad
Spiaggia Private Dining Rooms laubenheimer gebr feist sohne bad,laubenheimer gebr feist  sohne,-1,30,Spiaggia Private Dining Rooms,0,30,bad
Supermercado Picino jam marmalade tasty,jam marmalade,20,34,Supermercado Picino,0,20,tasty
my er rdesheimer schloberg at Annunciata School was terrible,er rdesheimer schloberg,3,27,Annunciata School,30,48,terrible
I thought the tourbotin bonne femme at West Town Tavern was decent,tourbotin bonne femme,14,36,West Town Tavern,39,56,decent
Subway saure gurken sucked,saure gurken,7,20,Subway,0,7,sucked
the perlhuhnbruestchen an einer himbeercremesause at Kings Chop Suey is not that good,perlhuhnbruestchen an einer himbeercremesause,4,50,Kings Chop Suey,53,69,not that good
my creme de bananes menagere at Rodriguez Fruits Vegetable was good,creme de bananes menagere,3,29,Rodriguez Fruits  Vegetable,-1,27,good
I thought the cruse vin rose at Birrieria Patinos Ocotlan was bad,cruse vin rose,14,29,Birrieria Patinos Ocotlan,32,58,bad
lamb chop with french fried potatoes Abes And Tommies Carryout terrible,lamb chop with french fried potatoes,0,37,Abes And Tommies Carryout,37,63,terrible
West Chicago Ave inc's caf filtro is not that bad,caf filtro,23,34,West Chicago Ave inc,0,21,not that bad
Taqueria El Palmar thai salad good,thai salad,19,30,Taqueria El Palmar,0,19,good
the poulardes a la stanley I had at Dunkin Donuts was not that good,poulardes a la stanley,4,27,Dunkin Donuts,36,50,not that good
acceptable fresh mushrooms en petits casserole Gioco,fresh mushrooms en petits casserole,11,47,Gioco,47,53,acceptable
the madilene at Sonnets Academywest Loop is okay,madilene,4,13,Sonnets Academywest Loop,16,41,okay
I thought the kelloggs bran flakes at El Maya was terrible,kelloggs bran flakes,14,35,El Maya,38,46,terrible
Happy Child Day Care Center A Montessori School L sardellen with egg sandwich terrible,sardellen with egg sandwich,50,78,Happy Child Day Care Center A Montessori School L,0,50,terrible
the zwei pochierte eier auf toast at Harolds Chicken is bad,zwei pochierte eier auf toast,4,34,Harolds Chicken ,37,54,bad
Haymarket Center stewed hashed corned beef good,stewed hashed corned beef,17,43,Haymarket Center,0,17,good
my baltimore club terrapin at Piece was tasty,baltimore club terrapin,3,27,Piece,30,36,tasty
delicious les asperges nouvelles du pays Gallery Cabaret,les asperges nouvelles du pays,10,41,Gallery Cabaret,41,57,delicious
applepancake Monaco Restaurant was bomb,applepancake,0,13,Monaco Restaurant,13,31,was bomb
I thought the scholle in butter at Chicago Pizza Pumping Station Co was acceptable,scholle in butter,14,32,Chicago Pizza  Pumping Station Co,-1,33,acceptable
the chicharos a la francesa I had at Relay was good,chicharos a la francesa,4,28,Relay ,37,44,good
I thought the napoleon cognac at Homemade Pizza was acceptable,napoleon  cognac,-1,16,Homemade Pizza,33,48,acceptable
I thought the bowl of half and half with bread at Alessandro Volta Elementary was decent,bowl of half and half with bread,14,47,Alessandro Volta Elementary,50,78,decent
I thought the breakfast fruit juices at Charles Darwin Elementary School was was bomb,breakfast fruit juices,14,37,Charles  Darwin Elementary School,-1,33,was bomb
the bayrleberknodel auf sauerkraut at Homestyle Taste is acceptable,bayrleberknodel auf sauerkraut,4,35,Homestyle Taste,38,54,acceptable
not that good eggs au cardinal Khyber Pass,eggs au cardinal,14,31,Khyber Pass,31,43,not that good
thanksgiving roast stuffed turkey Speedway tasty,thanksgiving roast stuffed turkey,0,34,Speedway ,34,44,tasty
I thought the carrots tzimmes at Emmanuel Christian School was sucked,carrots tzimmes,14,30,Emmanuel Christian School,33,59,sucked
I thought the irroy vin brut at Pepes Mexican Restaurant was good,irroy vin brut,14,29,Pepes Mexican Restaurant,32,57,good
my turbotin grille beurre nantais pour pers at Burrito Beach was okay,turbotin grille beurre nantais pour  pers,-1,41,Burrito Beach,47,61,okay
Concordia Place fried eggs with ham delicious, fried eggs with ham,15,36,Concordia Place,0,16,delicious
Hotel Monaco's cup custard with crushed strawberries is delicious,cup custard with crushed strawberries,15,53,Hotel Monaco,0,13,delicious
the sole de douvres meuniere at Noodle Zone Inc is acceptable,sole de douvres meuniere,4,29,Noodle Zone Inc,32,48,acceptable
Macello Ristorante almaden sylvaner rhine sucked,almaden sylvaner rhine ,19,43,Macello Ristorante,0,19,sucked
the american burgundy I had at Brenda Nutritions was not that bad,american burgundy,4,22,Brenda Nutritions,31,49,not that bad
I thought the anchor inns mariners platter fried deep sea scallops deviled crab fried select oysters fresh fillet of haddock and shrimp salad topped wth ripe stuffed olive crisp french fries cole slaw hot rolls ans butter at Mikes Ale House was was bomb,anchor inns mariners platter fried deep sea scallops deviled crab fried select oysters fresh fillet of haddock and shrimp salad topped wth ripe stuffed olive crisp french fries cole slaw hot rolls ans butter,14,222,Mikes Ale House,225,241,was bomb
Don Pedro Carnitas's lasagne verde al forno fur den kenner italienischer teigwarengerichte is delicious,lasagne verde al forno  fur den kenner italienischer teigwarengerichte,-1,70,Don Pedro Carnitas,0,19,delicious
Wow Bao broiled phila spring chicken on toast okay, broiled phila spring chicken on toast,7,46,Wow Bao,0,8,okay
Resurrection Lutheran Church's kari is terrible,kari,31,36,Resurrection Lutheran Church,0,29,terrible
Skrinechops's beaune les bressandes is decent,beaune les bressandes,14,36,Skrinechops,0,12,decent
